accident ['æksidənt]   n.事故，意外，偶然
careful  ['keəful]   a.仔细(小心)的
difficulty  ['difikəlti]   n.困难
flag  [flæg]   n.旗帜
horse  [hɔ:s]   n.马
lock  [lɔk]   n.&v.锁
nut  [nʌt]   n.竖果，螺帽
rain  [rein]   n.&v.雨，下雨
silk  [silk]   n.丝，丝绸
thirty  ['θə:ti]   a.&n.三十(个)
accidental  [.æksi'dentl]   a.意外的，偶然的
carrot  ['kærət]   n.胡萝卜
dinner  ['dinə]   n.正餐，晚餐
flat  [flæt]   a.平的，扁平的；n.套间
hospital  ['hɔspitl]   n. 医院
lonely  ['ləunli]   a.孤单的，孤寂的，偏僻的
Oceania  [.əuʃi'einiə]   n.大洋洲
rainy  ['reini]   a.多雨的
simple  ['simpl]   a.简单的，单纯的，朴素的
though  [ðəu]   ad.可是；conj.虽然，尽管
